Kraj_odlotu;Data;Przewoznik;Czy_przesiadka;Cena;Godzina_odlotu;Miejsce_odlotu;Godzina_przylotu;Miejsce_przylotu
Scotland; 21/05/19; Ryanair; 0; 9 zł; 20:35; Derry LDY; 21:30; Edinburgh EDI
Scotland; 27/04/19; Ryanair; 0; 9 zł; 20:25; Glasgow PIKGlasgow (Prestwick) PIK; 23:50; Barcelona GROBarcelona (Girona) GRO
Scotland; 01/05/19; Ryanair; 0; 5 zł; 06:30; Barcelona GROBarcelona (Girona) GRO; 08:15; Glasgow PIKGlasgow (Prestwick) PIK
Scotland; 29/04/19; Ryanair; 0; 9 zł; 07:15; Edinburgh EDI; 09:55; Eindhoven EIN
Scotland; 06/05/19; Ryanair; 0; 4 zł; 14:00; Eindhoven EIN; 14:40; Edinburgh EDI
Scotland; 08/05/19; Ryanair; 1; 9 zł; 06:50; Edinburgh EDI; 17:05; Dusseldorf NRNDusseldorf (Weeze) NRN
Scotland; 08/05/19; Ryanair; 1; 4 zł; 14:55; London STNLondon (Stansted) STN; 08:25; London STNLondon (Stansted) STN FR8882
Scotland; 14/05/19; Ryanair; 1; 2 zł; 15:45; Dusseldorf NRNDusseldorf (Weeze) NRN; 16:25; Edinburgh EDI
Scotland; 25/04/19; Ryanair; 0; 4 zł; 15:15; Edinburgh EDI; 17:50; Billund BLL
Scotland; 02/05/19; Ryanair; 0; 5 zł; 18:15; Billund BLL; 18:50; Edinburgh EDI
Scotland; 16/05/19; Ryanair; 0; 4 zł; 19:50; Edinburgh EDI; 22:35; Brussels CRLBrussels (Charleroi) CRL
Scotland; 22/05/19; Ryanair; 0; 5 zł; 17:25; Brussels CRLBrussels (Charleroi) CRL; 18:05; Edinburgh EDI
Scotland; 30/04/19; Ryanair; 0; 4 zł; 13:35; Edinburgh EDI; 16:50; Memmingen FMM
Scotland; 07/05/19; Ryanair; 0; 5 zł; 17:15; Memmingen FMM; 18:30; Edinburgh EDI
Scotland; 07/05/19; Ryanair; 0; 4 zł; 21:55; Glasgow GLA; 22:55; Dublin DUB
