Data; Przewoznik; Czy_przesiadka; Cena; Godzina_odlotu; Miejsce_odlotu; Godzina_przylotu; Miejsce_przylotu
5; France; Bordeaux BOD; 07:25; Nantes NTE
16/07/19; Ryanair; 0; 14.99; 11:55; France; Valencia VLC; 14:05; Paris BVAParis (Beauvais) BVA
23/07/19; Ryanair; 0; 14.99; 15:55; France; Toulouse TLS; 17:20; Alicante ALC
09/05/19; Ryanair; 0; 14.99; 14:05; France; Alicante ALC; 15:30; Toulouse TLS
16/05/19; Ryanair; 0; 14.99; 09:00; France; Paris BVAParis (Beauvais) BVA; 11:00; Palma Mall PMI
14/05/19; Ryanair; 0; 14.99; 06:30; France; Palma Mall PMI; 08:35; Paris BVAParis (Beauvais) BVA
22/05/19; Ryanair; 0; 14.99; 21:20; France; Paris BVAParis (Beauvais) BVA; 23:10; Barcelona BCN
09/05/19; Ryanair; 0; 14.99; 19:15; France; Barcelona BCN; 21:15; Paris BVAParis (Beauvais) BVA
14/05/19; Ryanair; 0; 14.99; 09:25; France; Figari FSC; 11:30; Brussels CRLBrussels (Charleroi) CRL
15/05/19; Ryanair; 0; 14.99; 07:05; France; Brussels CRLBrussels (Charleroi) CRL; 09:00; Figari FSC
22/05/19; Ryanair; 0; 14.99; 12:25; France; Bordeaux BOD; 13:55; Madrid MAD
05/05/19; Volotea; 1; 15.00; 19:15; Madrid MAD; 20:45; Bordeaux BOD
05/05/19; Volotea; 1; 15.00; 00 Na; France; tes NTE; 20:45; Bordeaux BOD V72465
12/05/19; Ryanair; 1; 4.99; 23:50; France; Bordeaux BOD; 10:00; Bordeaux BOD FR6550
30/04/19; Ryanair; 0; 9.99; 13:05; France; Manchester MAN; 15:35; Nantes NTE
08/05/19; Ryanair; 1; 15.02; 23:00; Toulouse TLS; 23:55; London STNLondon (Stansted) STN
08/05/19; Ryanair; 1; 4.99; 30 Lo; France; don STNLondon (Stansted) STN; 23:55; London STNLondon (Stansted) STN FR282
01/05/19; Ryanair; 1; 15.02; 11:20; France; Berlin SXFBerlin (Schonefeld) SXF; 09:30; Berlin SXFBerlin (Schonefeld) SXF FR8542
09/05/19; Ryanair; 1; 9.99; 13:10; Bordeaux BOD; 14:25; Marseille MRS
09/05/19; Ryanair; 1; 5.50; 30 Ma; France; seille MRS; 14:25; Marseille MRS FR6467
02/05/19; Ryanair; 1; 12.99; 19:35; France; London STNLondon (Stansted) STN; 07:35; London STNLondon (Stansted) STN FR6542
09/05/19; Ryanair; 0; 11.55; 20:30; France; Lourdes LDELourdes-Tarbes LDE; 23:15; Krakow KRK
25/04/19; Ryanair; 1; 14.99; 17:20; Krakow KRK; 20:05; Lourdes LDELourdes-Tarbes LDE
25/04/19; Ryanair; 1; 15.18; 35 Na; France; tes NTE; 20:05; Lourdes LDELourdes-Tarbes LDE FR3035
30/04/19; Transavia France; 1; 20.00; 13:00; France; Copenhagen CPH; 08:45; Copenhagen CPH TO4668
22/05/19; Ryanair; 1; 5.22; 16:35; Naples NAP; 19:00; Nantes NTE
22/05/19; Ryanair; 1; 4.99; 50 Na; France; tes NTE; 19:00; Nantes NTE FR5556
30/05/19; Ryanair; 1; 1.99; 17:45; France; Bordeaux BOD; 08:50; Bordeaux BOD FR6550
21/05/19; Ryanair; 0; 12.99; 06:40; France; Fez FEZ; 11:10; Nantes NTE
